iter	RMSE
0	333.831587
1	317.7909804
2	302.3624748
3	287.7270769
4	273.868765
5	260.6913359
6	248.1540279
7	236.131701
8	224.6717209
9	213.897073
10	203.5037755
11	193.8128417
12	184.6394963
13	175.6775414
14	167.2485001
15	159.125677
16	151.4938988
17	144.2421364
18	137.3080995
19	130.7159009
20	124.4384249
21	118.4763092
22	112.8774208
23	107.5042394
24	102.398117
25	97.51649611
26	92.87863983
27	88.43033608
28	84.27776589
29	80.28009717
30	76.51655376
31	72.91065224
32	69.49244066
33	66.24419872
34	63.17445834
35	60.25768738
36	57.45466585
37	54.80602481
38	52.3625123
39	49.96124769
40	47.70693627
41	45.53211383
42	43.48321522
43	41.53759401
44	39.70954216
45	37.95362411
46	36.30508945
47	34.71706191
48	33.23286004
49	31.82067805
50	30.484642
51	29.21147554
52	28.00044725
53	26.8733405
54	25.80176217
55	24.79557796
56	23.84348502
57	22.92753895
58	22.07722329
59	21.25592033
60	20.49390788
61	19.77656167
62	19.10597956
63	18.47022521
64	17.85403777
65	17.27792143
66	16.73878782
67	16.24141038
68	15.78602749
69	15.34382061
70	14.92721005
71	14.53572231
72	14.16656902
73	13.83112821
74	13.49087621
75	13.18943517
76	12.89954462
77	12.63065714
78	12.38544838
79	12.16808054
80	11.95950595
81	11.59739264
82	11.25279249
83	11.07245965
84	10.90763765
85	10.66361706
86	10.49322715
87	10.34225809
88	10.21291853
89	10.07973269
90	9.968296011
91	9.851755647
92	9.752718566
93	9.647076638
94	9.546393752
95	9.464526555
96	9.207602744
97	9.137371286
98	9.025943366
99	8.956545572
100	8.89159687
101	8.832789731
102	8.775970168
103	8.725808203
104	8.679735471
105	8.47492682
106	8.433435431
107	8.24365182
108	8.202803404
109	8.030297654
110	7.995765146
111	7.964827843
112	7.930222546
113	7.901359845
114	7.746673532
115	7.701785892
116	7.669715055
117	7.647322879
118	7.624077288
119	7.59589849
120	7.45318755
121	7.314939907
122	7.289963562
123	7.269869784
124	7.190633928
125	7.175508518
126	7.156572593
127	7.133704195
128	7.113134309
129	6.993381911
130	6.973836655
131	6.959483114
132	6.943214416
133	6.915252398
134	6.897432723
135	6.882760865
136	6.866181112
137	6.849855706
138	6.839977285
139	6.823643516
140	6.807887517
141	6.79733324
142	6.786114321
143	6.67294807
144	6.560645974
145	6.549349917
146	6.536577122
147	6.434609355
148	6.423659294
149	6.409553505
150	6.318447383
151	6.307998504
152	6.298412973
153	6.287023333
154	6.24935238
155	6.240098432
156	6.230886912
157	6.215044176
158	6.206259447
159	6.152449496
160	6.139677518
161	6.054360027
162	6.047715679
163	6.031157854
164	6.021886229
165	6.002139283
166	5.929523747
167	5.917141896
168	5.910257613
169	5.901141575
170	5.889880333
171	5.880773717
172	5.873317234
173	5.865022367
174	5.855040672
175	5.795209493
176	5.785556878
177	5.773989702
178	5.756245006
179	5.694452738
180	5.682691578
181	5.653822282
182	5.602846631
183	5.591185335
184	5.580257921
185	5.569066572
186	5.548563484
187	5.534666249
188	5.528629765
189	5.521805327
190	5.466150976
191	5.416907677
192	5.359475748
193	5.340740102
194	5.294233043
195	5.280532592
196	5.269506403
197	5.229469817
198	5.189905588
199	5.175846521
200	5.170925203
201	5.163681366
202	5.148458574
203	5.140538049
204	5.13237448
205	5.122645292
206	5.108314697
207	5.100482522
208	5.091648084
209	5.081330623
