feature,importance
voltage,33.842223150578405
rpm,24.919911405140883
fuel_rate_lph,8.563042628719629
battery_voltage,6.534632933876763
minute,6.074970708532707
oil_pressure_bar,5.802962123167151
hour,4.896840236363412
status_code,1.6424507101445838
load_pct,1.6119249951921697
capacity_kva,1.2165123427969848
generator_id,0.815356124887669
frequency,0.6040579740542282
ambient_temp_c,0.4846384854807924
cooling_margin,0.36624906299100557
current,0.3182605362256614
load_kw,0.26859083971455916
rpm_diff,0.2432146243131013
running_hours,0.2048704130163852
fuel_rate_lph_lag3,0.19082984748340917
load_kw_lag1,0.18059548305448767
fuel_rate_lph_lag1,0.12302448052712246
fuel_percentage,0.11204461204990906
coolant_temp_c_lag1,0.07778722525461763
coolant_temp_c_lag2,0.07281895464190372
load_pct_lag3,0.06947201918081299
coolant_temp_c_diff,0.0636897358060338
current_lag3,0.0555181807150569
oil_pressure_bar_lag1,0.05307155913420512
load_pct_lag2,0.04691544745020333
coolant_temp_c_rolling3,0.043324378850598165
current_lag2,0.040040019099686984
oil_pressure_bar_lag2,0.03346465594863924
weekday,0.032218122425482526
current_lag1,0.030014513165608263
fuel_rate_lph_lag2,0.029025014831675702
fuel_level_l_diff,0.02696963919096305
load_kw_lag2,0.02098795320335056
coolant_temp_c,0.02085497527717779
coolant_temp_c_lag3,0.02004672113683083
load_kw_lag3,0.019537122781470316
fuel_level_l_lag3,0.018631688158526453
is_weekend,0.018015259897726336
fuel_level_l_lag1,0.017231051300238654
load_pct_rolling3,0.015674508374089582
site_name,0.01525065645015879
power_factor,0.015233130059061446
battery_voltage_lag1,0.014565111650096375
fuel_level_l_rolling3,0.012040981537247966
load_pct_lag1,0.011057843969089454
rpm_lag2,0.010090398557958945
frequency_lag1,0.00904487438230345
oil_pressure_bar_lag3,0.008655810265305685
month,0.00803013092143713
frequency_lag3,0.00802152758040483
fuel_level_l,0.0077006252609429235
rpm_lag1,0.0061149639218154766
load_pct_diff,0.005408097007101506
battery_voltage_lag2,0.0053209862118225445
battery_voltage_lag3,0.004414763914044021
fuel_level_l_lag2,0.004231864674642874
day,0.003605891685129496
rpm_lag3,0.0032123295079608946
frequency_lag2,0.0030420910261422635
rpm_rolling3,0.0020606827370113633
status,0.0003847745443677375
