feature,importance
coolant_temp_c_rolling3,27.262045368232833
cooling_margin,15.259013992181387
coolant_temp_c_lag1,13.891421266296444
coolant_temp_c,13.144527394299159
coolant_temp_c_lag3,7.588819462494744
coolant_temp_c_lag2,7.58717417510006
ambient_temp_c,3.4726035719310753
coolant_temp_c_diff,3.457568155809185
hour,1.5617459523521064
frequency_lag1,1.291487182210153
oil_pressure_bar_lag3,1.1582676805070007
load_pct_lag3,0.6087399059692944
battery_voltage_lag2,0.37570590695299855
running_hours,0.3038721791851146
oil_pressure_bar_lag2,0.2882564661507211
oil_pressure_bar_lag1,0.28315259515989233
battery_voltage,0.2489892477382588
load_kw_lag1,0.20029503351294672
fuel_percentage,0.19427434347230982
frequency_lag2,0.1817936842050881
fuel_level_l,0.15271499629852003
load_pct_rolling3,0.15207871713279383
fuel_level_l_rolling3,0.1474847922685962
oil_pressure_bar,0.13690333604966767
fuel_level_l_lag1,0.13153703888693108
capacity_kva,0.11457055962830175
minute,0.09075832213554533
current_lag1,0.08822221834920561
fuel_rate_lph,0.07153783496775246
rpm_diff,0.06278198426603258
load_pct_lag1,0.05646266010314309
status_code,0.05404817667959215
rpm_rolling3,0.042711964939060404
month,0.03603320123926079
fuel_level_l_lag3,0.03457649659167733
load_pct,0.03245523703053561
current_lag2,0.02951826529489122
load_kw_lag2,0.027507258927433352
power_factor,0.01774381017419416
fuel_rate_lph_lag3,0.015424489658830988
fuel_level_l_diff,0.015414698609959481
frequency_lag3,0.014834686949595072
fuel_rate_lph_lag2,0.013672285256168563
is_weekend,0.010838206944175902
rpm,0.010579958686264363
rpm_lag2,0.010261304545263314
rpm_lag1,0.00972320449809145
weekday,0.009353393907114541
current_lag3,0.007859054233828195
status,0.006927637804342988
load_kw,0.005363446704266323
voltage,0.005361138075979403
rpm_lag3,0.004580982006723355
fuel_rate_lph_lag1,0.004159418234030861
load_pct_diff,0.00295061894324543
frequency,0.0026795947730253464
fuel_level_l_lag2,0.0023750730044225267
load_kw_lag3,0.002038486092270783
battery_voltage_lag3,0.0017667506314181498
day,0.0014268543380497882
load_pct_lag2,0.001266811560518167
site_name,0.0010489558526310982
battery_voltage_lag1,0.0005242554489285587
current,0.00016825851699145332
generator_id,0.0
