feature,importance
load_kw,30.452900496281952
fuel_rate_lph,23.3461943727241
current,15.376851240423324
running_hours,3.3997107971610205
capacity_kva,3.109088669031619
current_lag1,2.111363300621723
fuel_rate_lph_lag2,2.026000092425742
load_kw_lag1,1.6891049801998776
load_pct,1.6425702616806692
frequency_lag1,1.6091843809920994
load_pct_diff,1.574857018185452
minute,1.4651576761585297
power_factor,1.2583221744614006
fuel_rate_lph_lag1,1.0603527648622373
load_kw_lag2,0.7351595700217987
hour,0.6978420168366182
fuel_level_l_diff,0.6551855580827431
load_kw_lag3,0.5891576596101403
frequency,0.43152901609907945
load_pct_rolling3,0.4251842382083184
current_lag3,0.40494965213705036
fuel_rate_lph_lag3,0.3959206730855085
status,0.39351584513089566
load_pct_lag3,0.3053516294647134
oil_pressure_bar,0.28225229159957743
rpm_rolling3,0.27169481824356717
load_pct_lag1,0.2664106057708405
battery_voltage,0.2451536558265074
ambient_temp_c,0.24413167937580119
site_name,0.23836818654487898
frequency_lag3,0.23062586938504018
oil_pressure_bar_lag2,0.21527909414358806
battery_voltage_lag1,0.21024771896173755
load_pct_lag2,0.20108498194952923
cooling_margin,0.18828016380931256
current_lag2,0.1602307392505764
coolant_temp_c_diff,0.13723994079075896
oil_pressure_bar_lag1,0.13484100213572137
rpm_lag2,0.13470769578890496
rpm,0.12618399078961925
rpm_lag3,0.1258048959629387
voltage,0.12526191957350583
rpm_diff,0.12184145805683004
rpm_lag1,0.1158945040929666
battery_voltage_lag2,0.08944716944971307
battery_voltage_lag3,0.08704346291123191
oil_pressure_bar_lag3,0.08600979769923044
fuel_level_l_lag1,0.08304892167277428
fuel_percentage,0.08144149193380468
status_code,0.08106933838864656
frequency_lag2,0.08057575571939199
day,0.07494840167318166
coolant_temp_c,0.06252873001983568
fuel_level_l,0.05404751703737598
fuel_level_l_lag3,0.04771719495312847
weekday,0.04758171613795143
coolant_temp_c_rolling3,0.03638083127407354
fuel_level_l_lag2,0.03349274131061613
coolant_temp_c_lag2,0.03098371819303423
coolant_temp_c_lag1,0.03018458683158063
is_weekend,0.023617731895709627
coolant_temp_c_lag3,0.021959443484052085
fuel_level_l_rolling3,0.014278875058249511
month,0.0026532784176826916
generator_id,0.0
