feature,importance
fuel_level_l,39.5118870168853
fuel_level_l_lag1,22.66566391614355
fuel_level_l_rolling3,17.512597892745607
fuel_level_l_lag3,6.732961099749476
fuel_level_l_lag2,4.980024187036481
fuel_level_l_diff,2.815455674219045
fuel_percentage,2.1546611463705423
load_kw,0.6339748816297606
capacity_kva,0.6064404196602033
battery_voltage,0.5303302295634036
hour,0.51955649451219
current,0.3368845324582342
load_kw_lag2,0.1488389647874187
minute,0.1413577574178591
running_hours,0.13466136726889996
frequency_lag1,0.08223468295801274
current_lag1,0.07712725929794766
battery_voltage_lag2,0.06496074908322297
cooling_margin,0.05873698872482466
load_kw_lag3,0.037479281859924704
fuel_rate_lph,0.03648993166184298
status_code,0.025752165292080777
month,0.01706534537913577
fuel_rate_lph_lag3,0.016547534538985418
coolant_temp_c,0.01414179495559957
fuel_rate_lph_lag2,0.01388830891388445
load_kw_lag1,0.01360146136137162
coolant_temp_c_lag3,0.013057444799603714
rpm,0.010360514362607683
frequency_lag2,0.010019155506609794
current_lag2,0.008706098200179067
generator_id,0.007509216974313941
coolant_temp_c_rolling3,0.007435053780523667
coolant_temp_c_lag1,0.006493994291912556
coolant_temp_c_diff,0.005762052751047335
ambient_temp_c,0.005283304940445967
fuel_rate_lph_lag1,0.0048205550525257405
coolant_temp_c_lag2,0.0040511149130406186
oil_pressure_bar_lag2,0.003969537945570174
current_lag3,0.003928929694681012
load_pct,0.003926171506691513
frequency_lag3,0.0032867366448565373
load_pct_rolling3,0.002582527148717789
oil_pressure_bar,0.002049125270668253
load_pct_lag2,0.0019275303824257755
voltage,0.0015870914497676067
status,0.0013651226279831885
load_pct_lag1,0.0012532970137550134
oil_pressure_bar_lag3,0.0011673538603791634
load_pct_lag3,0.0010853633011141959
is_weekend,0.0010583211440056838
rpm_diff,0.0010345456786239142
day,0.0010131498448289673
oil_pressure_bar_lag1,0.0007941064280957776
rpm_lag1,0.0007315802224507295
battery_voltage_lag1,9.565595399793514e-05
power_factor,9.307736958958018e-05
rpm_lag3,6.921498805014714e-05
load_pct_diff,5.6658105617665206e-05
battery_voltage_lag3,3.6207426014559025e-05
rpm_rolling3,2.8171132302902732e-05
weekday,1.450416251090188e-05
rpm_lag2,1.407070286576127e-05
frequency,1.2359946867351617e-05
site_name,0.0
