feature,importance
fuel_rate_lph,24.65345836760602
load_kw,22.697796448631244
current,16.11149310650913
running_hours,4.565767964266822
fuel_rate_lph_lag1,3.709677423030403
capacity_kva,3.65646342005627
current_lag1,3.1245544172204034
fuel_rate_lph_lag2,2.6493901007273974
frequency_lag1,1.7749629719382165
load_kw_lag1,1.4174860990155405
power_factor,1.3633875131902502
load_pct,1.3469495678585959
minute,1.3102020407270505
load_pct_diff,1.2692893146825877
fuel_level_l_diff,0.895531970213591
fuel_rate_lph_lag3,0.8336375895296211
battery_voltage,0.7387240727205286
hour,0.7099112132953639
load_kw_lag2,0.5501141309721707
frequency,0.48887596010515455
oil_pressure_bar,0.459954710456386
load_pct_rolling3,0.4296336941888514
load_pct_lag3,0.3313992252116469
current_lag3,0.29685505821672076
load_kw_lag3,0.2963294220176248
load_pct_lag1,0.29567073765219326
status,0.2783064623155185
rpm_rolling3,0.27560857015583673
oil_pressure_bar_lag2,0.22773147046858933
generator_id,0.22345869835363522
frequency_lag3,0.21577795033008185
load_pct_lag2,0.19127491446240613
battery_voltage_lag1,0.18955363216844281
oil_pressure_bar_lag1,0.18261742451777263
voltage,0.1743702012513128
current_lag2,0.1507923489482065
status_code,0.1487420018320862
cooling_margin,0.14164539715769373
ambient_temp_c,0.13296611538543532
fuel_percentage,0.11364313102795716
rpm_diff,0.10735856114529845
coolant_temp_c_diff,0.10455739473242659
fuel_level_l_lag1,0.09635509608842116
rpm_lag2,0.0917518294455428
rpm_lag3,0.09034641526651611
rpm_lag1,0.08819024269918393
rpm,0.0811963053139236
battery_voltage_lag3,0.07846373850637735
oil_pressure_bar_lag3,0.06577389990446596
battery_voltage_lag2,0.06461657684141961
day,0.06057713956894691
frequency_lag2,0.05768618051087734
coolant_temp_c,0.05526019797889392
coolant_temp_c_rolling3,0.04276465347345339
fuel_level_l,0.036876659332832344
weekday,0.03596207394757701
month,0.03528664643111843
coolant_temp_c_lag2,0.035262509342400675
fuel_level_l_lag3,0.03477660336365038
coolant_temp_c_lag3,0.03169446615492925
fuel_level_l_lag2,0.022636291949324153
is_weekend,0.022014913142659808
coolant_temp_c_lag1,0.021045743508742772
fuel_level_l_rolling3,0.01554100293621324
site_name,0.0
