feature,importance
load_kw,27.247502303553247
fuel_rate_lph,25.98737623203253
current,13.585670765086716
running_hours,3.3706017034890414
current_lag1,3.2084598960371946
capacity_kva,2.415788251038172
fuel_rate_lph_lag1,2.241023513187212
load_kw_lag1,2.0451358080782844
load_pct_diff,1.8338673345650758
load_pct,1.6667855509998306
frequency_lag1,1.6212815467032182
fuel_rate_lph_lag2,1.5588683917025186
minute,1.4548831070408332
power_factor,1.3771706706550797
fuel_rate_lph_lag3,1.0487166334913782
load_kw_lag2,0.9220454047376982
hour,0.7023294782260455
fuel_level_l_diff,0.5729057271030609
current_lag3,0.5168299003016041
load_pct_rolling3,0.46264189961417795
battery_voltage,0.44302913963184154
status,0.37837329975118056
load_pct_lag3,0.32288485523288357
generator_id,0.27531622673740364
rpm_rolling3,0.2515650427329316
voltage,0.24808607972954125
oil_pressure_bar_lag2,0.23549975365581083
load_pct_lag2,0.23534124300311748
frequency_lag3,0.20753395582047973
load_pct_lag1,0.20705740859044885
cooling_margin,0.19937110354017168
rpm_diff,0.1876364505611002
coolant_temp_c_diff,0.1844029540445296
ambient_temp_c,0.16975406775581306
oil_pressure_bar,0.16830632007394142
current_lag2,0.16822417255704739
load_kw_lag3,0.16041566804629523
frequency_lag2,0.16039568624591172
rpm_lag2,0.1518290134584472
rpm_lag3,0.1451058477481136
rpm_lag1,0.13869965566214595
rpm,0.1360431422085907
oil_pressure_bar_lag1,0.13235931835032505
battery_voltage_lag1,0.11645777846687035
battery_voltage_lag3,0.1053620031292031
status_code,0.10035006873353898
battery_voltage_lag2,0.0934835773409497
oil_pressure_bar_lag3,0.0882842415767333
fuel_level_l_lag1,0.08358304230213322
fuel_percentage,0.08279818179351137
day,0.07724918393694141
frequency,0.07654783237035775
weekday,0.05424796143575805
fuel_level_l,0.05348889361481162
coolant_temp_c_lag2,0.04833811625132513
coolant_temp_c_lag3,0.04628888057497574
coolant_temp_c,0.04466762680702043
fuel_level_l_lag2,0.04109334035543433
coolant_temp_c_lag1,0.030212193877881884
is_weekend,0.030174004098618923
fuel_level_l_lag3,0.02872849817041456
coolant_temp_c_rolling3,0.02283860440371761
fuel_level_l_rolling3,0.019768646731162416
month,0.008922801247673874
site_name,0.0
