feature,importance
voltage,32.64355828327853
rpm,24.373748226921826
oil_pressure_bar,8.304119315378678
minute,7.453180131005103
battery_voltage,6.112027676064832
hour,5.601974938305213
fuel_rate_lph,5.269029966815608
status_code,1.5137662868882298
capacity_kva,1.4062004953612026
generator_id,1.339011670121516
cooling_margin,0.851297688288445
running_hours,0.6980586302230273
frequency,0.4803092549254216
ambient_temp_c,0.4361034383942032
weekday,0.3352517384901863
fuel_rate_lph_lag2,0.3211300854958383
current,0.311526526907227
load_pct,0.30136926382575374
is_weekend,0.2911148889573979
fuel_rate_lph_lag1,0.2272599809452299
load_kw,0.2129637634556261
coolant_temp_c_diff,0.21157612741693407
current_lag3,0.18198958486704767
fuel_rate_lph_lag3,0.16808702558993482
fuel_percentage,0.10175002546732351
coolant_temp_c_lag2,0.09433690972999888
oil_pressure_bar_lag1,0.06507317734468744
coolant_temp_c_lag3,0.058290388989962263
load_pct_lag3,0.05757104346204686
load_kw_lag2,0.042181481554558045
current_lag2,0.038012424666479756
coolant_temp_c_lag1,0.03669903217619313
coolant_temp_c_rolling3,0.03398739846541226
current_lag1,0.03380582882172667
load_pct_rolling3,0.03376728649801124
load_pct_lag2,0.03154919415077603
coolant_temp_c,0.030268198901797383
oil_pressure_bar_lag3,0.02885969197867671
battery_voltage_lag1,0.02619125365666178
load_kw_lag1,0.019197405199242745
load_pct_lag1,0.017859118746056845
oil_pressure_bar_lag2,0.017638124721390223
day,0.017344108574861933
load_kw_lag3,0.016154230060668563
fuel_level_l_lag1,0.014857070330288474
fuel_level_l_diff,0.013399670021017602
fuel_level_l_rolling3,0.013061650904494643
battery_voltage_lag2,0.011747643038637498
power_factor,0.011441649397081234
site_name,0.011188570497522565
fuel_level_l_lag3,0.010334963311406216
battery_voltage_lag3,0.009903560586899422
month,0.00742982077201896
frequency_lag1,0.0073469107557431225
frequency_lag3,0.007192939793056664
rpm_lag2,0.005750898898041897
fuel_level_l,0.005612308675312614
rpm_rolling3,0.005348675859214883
fuel_level_l_lag2,0.005297848819649861
load_pct_diff,0.0042197044243587984
rpm_lag1,0.0035601781893079133
rpm_diff,0.0035090232153558694
frequency_lag2,0.002431172545391788
rpm_lag3,0.000902803415781842
status,0.00027162545981796604
